"NAME","facility_density"
"Harford",1.45448428989589
"McLeod",1.45117176287034
"Wilson",1.44872479728708
"Harris",1.43885895683033
"Solano",1.4315941114286
"Hunterdon",1.41240949115806
"Galveston",1.40759342725567
"Wright",1.40534076561766
"Benton",1.40218724285506
"Alameda",1.38938830520129
"Perquimans",1.37984829319429
"Chittenden",1.36865131350591
"Bristol",1.36477131864801
"Passaic",1.36175676652708
"Martin",1.35264407195275
"Lee",1.34067197678761
"Steele",1.33994740066496
"Saratoga",1.32698201249039
"Le Sueur",1.30360575514217
"New Castle",1.24313885904568
"Androscoggin",1.24287518707617
"Capitol",1.21811696483116
"Delaware",1.21371146779024
"Morris",1.20273701151818
"Northampton",1.19197069311429
"Cook",1.16936918536755
"Fulton",1.15940010559383
"Montgomery",1.15471858967933
"Lenoir",1.15437732047812
"Berkshire",1.14240306777217
"Ramsey",1.13553402785213
"Blue Earth",1.10949036206724
"Kings",1.10948637111201
"Rowan",1.10528619001771
"Naugatuck Valley",1.09914504377337
"Bergen",1.09679267277854
"Chowan",1.0915824938387
"Niagara",1.08852987443456
"Portsmouth",1.08458530494294
"Adair",1.08330370907418
"Baltimore",1.05752327256252
"Stearns",1.05560224419086
"Scott",1.04809866371911
"Kern",1.03088621457732
"Oswego",1.02355199138555
"Atlantic",1.01381666243025
"Genesee",1.0132360748066
"Story",1.00959763972377
"Washington",0.991228879520912
"Wyandotte",0.989350901856243
"Richmond",0.965425869639206
"Winona",0.962723043954509
"Onondaga",0.958538412440463
"Stephenson",0.957302958213778
"Milwaukee",0.956294323325041
"Clarke",0.956060053240941
"Wayne",0.955038690626342
"Adams",0.945957645944276
"Olmsted",0.943600019765968
"Richmond",0.939939855837711
"Marion",0.939927254213689
"Fulton",0.939188988847388
"Madison",0.937867141145906
"Franklin",0.936790673804331
"Dutchess",0.935662795399273
"Rensselaer",0.928573576633794
"Chippewa",0.91941727454575
"Lake",0.918711502931095
"Pope",0.915371462731739
"Yadkin",0.914625114260321
"Will",0.909291982068528
"Tarrant",0.897183617614991
"Winnebago",0.892473878770814
"Cumberland",0.879453088243793
"Storey",0.87558089702558
"Montgomery",0.871724125410208
"Ocean",0.8703266029187
"Davie",0.868967065211252
"Warren",0.868718182503941
"Pleasants",0.860871178190447
"Person",0.859593809928545
"Montgomery",0.846839033366603
"Halifax",0.846007170629175
"Erie",0.842447874614936
"Wyoming",0.841883185244364
"Cuyahoga",0.841530004702188
"Montgomery",0.837794635008621
"White",0.834859982360824
"Jefferson",0.834522729702672
"Randolph",0.830940023903159
"Huron",0.83092691330161
"Northeastern Connecticut",0.822829343328844
"Renville",0.821409393995358
"Walton",0.819046411631262
"Northampton",0.818862098917506
"Rutherford",0.816839035309206
"Ontario",0.815901206819134
"Kane",0.810245042035409
"Columbus",0.808622454784851
"San Diego",0.80711250625294
"Alamance",0.800308196624156
"Tompkins",0.785529689446524
"Lower Connecticut River Valley",0.780404580665143
"Lucas",0.778558952239024
"Lewis",0.777296031404138
"Harnett",0.770445898436403
"Chesapeake",0.770362754970771
"Western Connecticut",0.762466170409884
"St. Joseph",0.753444618943981
"Lee",0.751199364911846
"Darlington",0.750084060685146
"Nicollet",0.744316304944538
"Cabarrus",0.742650459292134
"Brazoria",0.741762749448532
"Sullivan",0.736006474432007
"Wayne",0.73336012830869
"Kennebec",0.730533643898642
"Duval",0.728934734292637
"Clinton",0.725648417173257
"Greene",0.722468876526773
"Anson",0.718998932865284
"Outagamie",0.718816545753974
"Spartanburg",0.706563344797254
"Kenton",0.705203730294265
"Guilford",0.704479199645297
"San Joaquin",0.703715568724829
"Muscogee",0.698697420471361
"Beaver",0.695650537293847
"Lyon",0.695607822534676
"Dougherty",0.691974655609762
"Jeff Davis",0.690408078118156
"Jackson",0.689001714613891
"Anne Arundel",0.687284364995283
"Queen Anne's",0.685306433528775
"Nantucket",0.684470608061314
"Lowndes",0.680715575350003
"Cherokee",0.680278023013692
"Kankakee",0.680102254486877
"Hillsborough",0.678001342609044
"Bexar",0.676231963424463
"Burke",0.675775908394342
"Rockingham",0.674137778968092
"Winnebago",0.672964587205902
"Worth",0.672500067318881
"Currituck",0.670257335021325
"Ottawa",0.669189553415486
"Tioga",0.664524985315458
"Somerset",0.664309398196821
"Hampton",0.659416377745208
"Chemung",0.657924321163024
"Butler",0.657187279866115
"St. Lawrence",0.657034506765242
"Chatham",0.653703185152879
"Bladen",0.652403976897012
"Jones",0.652040482701436
"Durham",0.648308647302523
"Pitt",0.647898689431679
"Granville",0.646502112468554
"Kent",0.64646795236196
"Norfolk",0.645830947128517
"Paulding",0.645300438486525
"Yamhill",0.645033829367676
