"NAME","mean_pm25_exact"
"Leon",8.68812561035156
"Bond",8.6880054473877
"Stephens",8.68796825408936
"Burleigh",8.68630313873291
"Hempstead",8.68361186981201
"Loudon",8.68322944641113
"Tyler",8.68305397033691
"Elk",8.68296432495117
"Brazoria",8.68284225463867
"Livingston",8.68235301971436
"White",8.68121147155762
"Menominee",8.68107795715332
"Webster",8.68101501464844
"Warren",8.68066310882568
"Kewaunee",8.67985343933105
"Posey",8.67956161499023
"Steuben",8.67904376983643
"Madison",8.67844390869141
"Jefferson",8.6777982711792
"Douglas",8.67735862731934
"Miller",8.67705631256104
"Marion",8.67705345153809
"Grimes",8.67653369903564
"Logan",8.67633056640625
"Burnett",8.67526817321777
"Rains",8.67494010925293
"Oliver",8.67418766021729
"Lynchburg",8.67397880554199
"Prince William",8.67386722564697
"Oconee",8.67177200317383
"Van Buren",8.67150402069092
"Lonoke",8.6707878112793
"Waynesboro",8.67065238952637
"Somerset",8.66960716247559
"Pendleton",8.66844749450684
"Greene",8.66777229309082
"Madison",8.66773700714111
"Pulaski",8.66690158843994
"Cass",8.66665077209473
"Niagara",8.66551971435547
"Hancock",8.66417217254639
"Allen",8.66219615936279
"Macoupin",8.66197967529297
"Houston",8.66159725189209
"New Madrid",8.66141510009766
"Hanson",8.65925693511963
"Franklin",8.65806770324707
"Jackson",8.65777969360352
"Cass",8.65761280059814
"Bienville",8.65753936767578
"Bibb",8.65613460540771
"Winn",8.65552616119385
"Mahnomen",8.65549087524414
"Perry",8.65398025512695
"Washington",8.65216732025146
"Aransas",8.65139865875244
"Pemiscot",8.65110683441162
"Preston",8.6508150100708
"Grand Isle",8.65074634552002
"Carroll",8.64413356781006
"Union",8.64385795593262
"San Jacinto",8.64266777038574
"Washington",8.6425724029541
"Claiborne",8.6424732208252
"Alexander",8.64077091217041
"Menard",8.64039516448975
"Oconto",8.63895511627197
"Lake",8.63786506652832
"Wilkinson",8.6376371383667
"Orange",8.63724517822266
"Buffalo",8.63552379608154
"Orleans",8.63516712188721
"Dunklin",8.6328821182251
"Cleveland",8.63269329071045
"Hubbard",8.63121604919434
"Waller",8.63034152984619
"Franklin",8.6298303604126
"Prairie",8.62941837310791
"Madison",8.62910270690918
"Union",8.62843704223633
"Warren",8.62755107879639
"West Carroll",8.62710285186768
"Van Zandt",8.62607765197754
"Greene",8.62522220611572
"Copiah",8.62412738800049
"Wells",8.62345600128174
"Kankakee",8.62171840667725
"Washington",8.6215410232544
