"NAME","n_facilities_within_5km","near_pps"
"St. Joseph",5,TRUE
"Hopewell",5,TRUE
"Taylor",5,TRUE
"Montcalm",5,TRUE
"Heard",5,TRUE
"Fremont",5,TRUE
"Monroe",5,TRUE
"Clay",5,TRUE
"Lauderdale",5,TRUE
"Mahoning",5,TRUE
"Cooke",5,TRUE
"Columbia",4,TRUE
"Jay",4,TRUE
"Plaquemines",4,TRUE
"Greene",4,TRUE
"Val Verde",4,TRUE
"Harrison",4,TRUE
"James City",4,TRUE
"Loudoun",4,TRUE
"Jefferson",4,TRUE
"Grand",4,TRUE
"Clay",4,TRUE
"Gray",4,TRUE
"Yates",4,TRUE
"Cleveland",4,TRUE
"Sumter",4,TRUE
"Anderson",4,TRUE
"Charlotte",4,TRUE
"Montgomery",4,TRUE
"Pulaski",4,TRUE
"Sauk",4,TRUE
"Levy",4,TRUE
"Leon",4,TRUE
"Macon",4,TRUE
"Pike",4,TRUE
"Beaufort",4,TRUE
"Monroe",4,TRUE
"Colbert",4,TRUE
"Clarke",4,TRUE
"Cass",4,TRUE
"Grant",4,TRUE
"Franklin",4,TRUE
"Garrard",4,TRUE
"Morehouse",4,TRUE
"Piscataquis",4,TRUE
"Westmoreland",4,TRUE
"Wayne",4,TRUE
"Colusa",4,TRUE
"Eagle",4,TRUE
"Columbia",4,TRUE
"Mills",4,TRUE
"Calvert",4,TRUE
"Defiance",4,TRUE
"Effingham",4,TRUE
"Jefferson",4,TRUE
"Emery",4,TRUE
"Roanoke",4,TRUE
"Amelia",4,TRUE
